speciesname,class,order,family,Distance,Mig,Notes
Ovis dalli,mammal,Cetartiodactyla,Bovidae,20,1,
Odocoileus hemionus,mammal,Cetartiodactyla,Cervidae,285,1,
Odocoileus virginianus,mammal,Cetartiodactyla,Cervidae,33,1,
Balantiopteryx plicata,mammal,Chiroptera,Emballonuridae,,1,
Emballonura alecto,mammal,Chiroptera,Emballonuridae,,1,
Rhynchonycteris naso,mammal,Chiroptera,Emballonuridae,,1,
Saccopteryx bilineata,mammal,Chiroptera,Emballonuridae,,1,
Taphozous melanopogon,mammal,Chiroptera,Emballonuridae,,1,
Hipposideros ater,mammal,Chiroptera,Hipposideridae,,1,
Hipposideros bicolor,mammal,Chiroptera,Hipposideridae,,1,
Hipposideros caffer,mammal,Chiroptera,Hipposideridae,,1,
Hipposideros cervinus,mammal,Chiroptera,Hipposideridae,,1,
Hipposideros diadema,mammal,Chiroptera,Hipposideridae,,1,
Hipposideros larvatus,mammal,Chiroptera,Hipposideridae,,1,
Hipposideros obscurus,mammal,Chiroptera,Hipposideridae,,1,
Megaderma spasma,mammal,Chiroptera,Megadermatidae,,1,
Miniopterus australis,mammal,Chiroptera,Miniopteridae,,1,
Miniopterus schreibersii,mammal,Chiroptera,Miniopteridae,,1,
Chaerephon pumilus,mammal,Chiroptera,Molossidae,,1,
Eumops bonariensis,mammal,Chiroptera,Molossidae,,1,
Eumops glaucinus,mammal,Chiroptera,Molossidae,,1,
Eumops perotis,mammal,Chiroptera,Molossidae,,1,
Molossops planirostris,mammal,Chiroptera,Molossidae,,1,
Molossops temminckii,mammal,Chiroptera,Molossidae,,1,
Molossus molossus,mammal,Chiroptera,Molossidae,,1,
Molossus rufus,mammal,Chiroptera,Molossidae,,1,
Molossus sinaloae,mammal,Chiroptera,Molossidae,,1,
Mops condylurus,mammal,Chiroptera,Molossidae,,1,
Nyctinomops femorosaccus,mammal,Chiroptera,Molossidae,,1,
Nyctinomops macrotis,mammal,Chiroptera,Molossidae,,1,
Tadarida brasiliensis,mammal,Chiroptera,Molossidae,,1,
Mormoops megalophylla,mammal,Chiroptera,Mormoopidae,,1,
Pteronotus davyi,mammal,Chiroptera,Mormoopidae,,1,
Pteronotus parnellii,mammal,Chiroptera,Mormoopidae,,1,
Natalus stramineus,mammal,Chiroptera,Natalidae,,1,
Noctilio albiventris,mammal,Chiroptera,Noctilionidae,,1,
Noctilio leporinus,mammal,Chiroptera,Noctilionidae,,1,
Nycteris thebaica,mammal,Chiroptera,Nycteridae,,1,
Anoura geoffroyi,mammal,Chiroptera,Phyllostomidae,,1,
Ardops nichollsi,mammal,Chiroptera,Phyllostomidae,,1,
Artibeus aequatorialis,mammal,Chiroptera,Phyllostomidae,,1,
Artibeus anderseni,mammal,Chiroptera,Phyllostomidae,,1,
Artibeus fimbriatus,mammal,Chiroptera,Phyllostomidae,,1,
Artibeus fraterculus,mammal,Chiroptera,Phyllostomidae,,1,
Artibeus jamaicensis,mammal,Chiroptera,Phyllostomidae,,1,
Artibeus lituratus,mammal,Chiroptera,Phyllostomidae,,1,
Artibeus obscurus,mammal,Chiroptera,Phyllostomidae,,1,
Artibeus phaeotis,mammal,Chiroptera,Phyllostomidae,,1,
Artibeus planirostris,mammal,Chiroptera,Phyllostomidae,,1,
Artibeus schwartzi,mammal,Chiroptera,Phyllostomidae,,1,
Artibeus toltecus,mammal,Chiroptera,Phyllostomidae,,1,
Artibeus watsoni,mammal,Chiroptera,Phyllostomidae,,1,
Brachyphylla cavernarum,mammal,Chiroptera,Phyllostomidae,,1,
Carollia brevicauda,mammal,Chiroptera,Phyllostomidae,,1,
Carollia carollia,mammal,Chiroptera,Phyllostomidae,,1,
Carollia castanea,mammal,Chiroptera,Phyllostomidae,,1,
Carollia perspicillata,mammal,Chiroptera,Phyllostomidae,,1,
Carollia sowelli,mammal,Chiroptera,Phyllostomidae,,1,
Carollia subrufa,mammal,Chiroptera,Phyllostomidae,,1,
Centurio senex,mammal,Chiroptera,Phyllostomidae,,1,
Chiroderma salvini,mammal,Chiroptera,Phyllostomidae,,1,
Chiroderma trinitatum,mammal,Chiroptera,Phyllostomidae,,1,
Chiroderma villosum,mammal,Chiroptera,Phyllostomidae,,1,
Choeronycteris mexicana,mammal,Chiroptera,Phyllostomidae,,1,
Chrotopterus auritus,mammal,Chiroptera,Phyllostomidae,,1,
Desmodus rotundus,mammal,Chiroptera,Phyllostomidae,,1,
Glossophaga commissarisi,mammal,Chiroptera,Phyllostomidae,,1,
Glossophaga glossophaga,mammal,Chiroptera,Phyllostomidae,,1,
Glossophaga leachii,mammal,Chiroptera,Phyllostomidae,,1,
Glossophaga longirostris,mammal,Chiroptera,Phyllostomidae,,1,
Glossophaga soricina,mammal,Chiroptera,Phyllostomidae,,1,
Hylonycteris underwoodi,mammal,Chiroptera,Phyllostomidae,,1,
Leptonycteris yerbabuenae,mammal,Chiroptera,Phyllostomidae,,1,
Lonchophylla thomasi,mammal,Chiroptera,Phyllostomidae,,1,
Lophostoma aequatorialis,mammal,Chiroptera,Phyllostomidae,,1,
Lophostoma silvicolum,mammal,Chiroptera,Phyllostomidae,,1,
Macrotus californicus,mammal,Chiroptera,Phyllostomidae,,1,
Macrotus waterhousii,mammal,Chiroptera,Phyllostomidae,,1,
Mesophylla macconnelli,mammal,Chiroptera,Phyllostomidae,,1,
Micronycteris megalotis,mammal,Chiroptera,Phyllostomidae,,1,
Micronycteris minuta,mammal,Chiroptera,Phyllostomidae,,1,
Mimon crenulatum,mammal,Chiroptera,Phyllostomidae,,1,
Monophyllus plethodon,mammal,Chiroptera,Phyllostomidae,,1,
Phyllostomus discolor,mammal,Chiroptera,Phyllostomidae,,1,
Phyllostomus elongatus,mammal,Chiroptera,Phyllostomidae,,1,
Phyllostomus hastatus,mammal,Chiroptera,Phyllostomidae,,1,
Platyrrhinus helleri,mammal,Chiroptera,Phyllostomidae,,1,
Platyrrhinus lineatus,mammal,Chiroptera,Phyllostomidae,,1,
Pygoderma bilabiatum,mammal,Chiroptera,Phyllostomidae,,1,
Rhinophylla pumilio,mammal,Chiroptera,Phyllostomidae,,1,
Sturnira lilium,mammal,Chiroptera,Phyllostomidae,,1,
Sturnira ludovici,mammal,Chiroptera,Phyllostomidae,,1,
Sturnira luisi,mammal,Chiroptera,Phyllostomidae,,1,
Sturnira sturnira,mammal,Chiroptera,Phyllostomidae,,1,
Sturnira tildae,mammal,Chiroptera,Phyllostomidae,,1,
Tonatia saurophila,mammal,Chiroptera,Phyllostomidae,,1,
Trachops cirrhosus,mammal,Chiroptera,Phyllostomidae,,1,
Uroderma bilobatum,mammal,Chiroptera,Phyllostomidae,,1,
Vampyressa pusilla,mammal,Chiroptera,Phyllostomidae,,1,
Cynopterus brachyotis,mammal,Chiroptera,Pteropodidae,,1,
Cynopterus sphinx,mammal,Chiroptera,Pteropodidae,,1,
Dobsonia moluccensis,mammal,Chiroptera,Pteropodidae,,1,
Eonycteris spelaea,mammal,Chiroptera,Pteropodidae,,1,
Epomophorus wahlbergi,mammal,Chiroptera,Pteropodidae,,1,
Haplonycteris fischeri,mammal,Chiroptera,Pteropodidae,,1,
Harpyionycteris whiteheadi,mammal,Chiroptera,Pteropodidae,,1,
Macroglossus minimus,mammal,Chiroptera,Pteropodidae,,1,
Megaerops wetmorei,mammal,Chiroptera,Pteropodidae,,1,
Nyctimene albiventer,mammal,Chiroptera,Pteropodidae,,1,
Ptenochirus jagori,mammal,Chiroptera,Pteropodidae,,1,
Pteropus alecto,mammal,Chiroptera,Pteropodidae,,1,
Rousettus aegyptiacus,mammal,Chiroptera,Pteropodidae,,1,
Rousettus amplexicaudatus,mammal,Chiroptera,Pteropodidae,,1,
Syconycteris australis,mammal,Chiroptera,Pteropodidae,,1,
Rhinolophus arcuatus,mammal,Chiroptera,Rhinolophidae,,1,
Rhinolophus philippinensis,mammal,Chiroptera,Rhinolophidae,,1,
Rhinolophus virgo,mammal,Chiroptera,Rhinolophidae,,1,
Antrozous dubiaquercus,mammal,Chiroptera,Vespertilionidae,,0,
Antrozous pallidus,mammal,Chiroptera,Vespertilionidae,,1,
Barbastella barbastellus,mammal,Chiroptera,Vespertilionidae,,0,
Barbastella leucomelas,mammal,Chiroptera,Vespertilionidae,,0,
Chalinolobus alboguttatus,mammal,Chiroptera,Vespertilionidae,,0,
Chalinolobus argentatus,mammal,Chiroptera,Vespertilionidae,,0,
Chalinolobus beatrix,mammal,Chiroptera,Vespertilionidae,,0,
Chalinolobus dwyeri,mammal,Chiroptera,Vespertilionidae,,0,
Chalinolobus egeria,mammal,Chiroptera,Vespertilionidae,,0,
Chalinolobus gleni,mammal,Chiroptera,Vespertilionidae,,0,
Chalinolobus gouldii,mammal,Chiroptera,Vespertilionidae,,0,
Chalinolobus kenyacola,mammal,Chiroptera,Vespertilionidae,,0,
Chalinolobus morio,mammal,Chiroptera,Vespertilionidae,,0,
Chalinolobus nigrogriseus,mammal,Chiroptera,Vespertilionidae,,1,Ancillotto
Chalinolobus nigrogriseus,mammal,Chiroptera,Vespertilionidae,,0,Bisson et al. 2009
Chalinolobus picatus,mammal,Chiroptera,Vespertilionidae,,0,
Chalinolobus poensis,mammal,Chiroptera,Vespertilionidae,,0,
Chalinolobus superbus,mammal,Chiroptera,Vespertilionidae,,0,
Chalinolobus tuberculatus,mammal,Chiroptera,Vespertilionidae,,0,
Chalinolobus variegatus,mammal,Chiroptera,Vespertilionidae,,0,
Corynorhinus townsendii,mammal,Chiroptera,Vespertilionidae,,1,
Eptesicus baverstocki,mammal,Chiroptera,Vespertilionidae,,0,
Eptesicus bobrinskoi,mammal,Chiroptera,Vespertilionidae,,0,
Eptesicus bottae,mammal,Chiroptera,Vespertilionidae,,0,
Eptesicus brasiliensis,mammal,Chiroptera,Vespertilionidae,,1,Ancillotto
Eptesicus brasiliensis,mammal,Chiroptera,Vespertilionidae,,0,Bisson et al. 2009
Eptesicus brunneus,mammal,Chiroptera,Vespertilionidae,,0,
Eptesicus capensis,mammal,Chiroptera,Vespertilionidae,,0,
Eptesicus demissus,mammal,Chiroptera,Vespertilionidae,,0,
Eptesicus diminutus,mammal,Chiroptera,Vespertilionidae,,0,
Eptesicus douglasorum,mammal,Chiroptera,Vespertilionidae,,0,
Eptesicus flavescens,mammal,Chiroptera,Vespertilionidae,,0,
Eptesicus floweri,mammal,Chiroptera,Vespertilionidae,,0,
Eptesicus furinalis,mammal,Chiroptera,Vespertilionidae,,1,Ancillotto
Eptesicus furinalis,mammal,Chiroptera,Vespertilionidae,,0,Bisson et al. 2009
Eptesicus fuscus,mammal,Chiroptera,Vespertilionidae,,1,Ancillotto
Eptesicus fuscus,mammal,Chiroptera,Vespertilionidae,,0,Bisson et al. 2009
Eptesicus gobiensis,mammal,Chiroptera,Vespertilionidae,,1,
Eptesicus guadeloupensis,mammal,Chiroptera,Vespertilionidae,,0,
Eptesicus guineensis,mammal,Chiroptera,Vespertilionidae,,0,
Eptesicus hottentotus,mammal,Chiroptera,Vespertilionidae,,0,
Eptesicus innoxius,mammal,Chiroptera,Vespertilionidae,,0,
Eptesicus kobayashii,mammal,Chiroptera,Vespertilionidae,,0,
Eptesicus melckorum,mammal,Chiroptera,Vespertilionidae,,0,
Eptesicus nasutus,mammal,Chiroptera,Vespertilionidae,,0,
Eptesicus nilssoni,mammal,Chiroptera,Vespertilionidae,,0,
Eptesicus pachyotis,mammal,Chiroptera,Vespertilionidae,,0,
Eptesicus platyops,mammal,Chiroptera,Vespertilionidae,,0,
Eptesicus pumilus,mammal,Chiroptera,Vespertilionidae,,0,
Eptesicus regulus,mammal,Chiroptera,Vespertilionidae,,0,
Eptesicus rendalli,mammal,Chiroptera,Vespertilionidae,,0,
Eptesicus sagittula,mammal,Chiroptera,Vespertilionidae,,0,
Eptesicus serotinus,mammal,Chiroptera,Vespertilionidae,,0,
Eptesicus somalicus,mammal,Chiroptera,Vespertilionidae,,0,
Eptesicus tatei,mammal,Chiroptera,Vespertilionidae,,0,
Eptesicus tenuipinnis,mammal,Chiroptera,Vespertilionidae,,0,
Eptesicus vulturnus,mammal,Chiroptera,Vespertilionidae,,0,
Euderma maculatum,mammal,Chiroptera,Vespertilionidae,,0,
Eudiscopus denticulus,mammal,Chiroptera,Vespertilionidae,,0,
Glischropus javanus,mammal,Chiroptera,Vespertilionidae,,0,
Glischropus tylopus,mammal,Chiroptera,Vespertilionidae,,0,
Harpiocephalus harpia,mammal,Chiroptera,Vespertilionidae,,0,
Hesperoptenus blanfordi,mammal,Chiroptera,Vespertilionidae,,0,
Hesperoptenus doriae,mammal,Chiroptera,Vespertilionidae,,0,
Hesperoptenus gaskelli,mammal,Chiroptera,Vespertilionidae,,0,
Hesperoptenus tickelli,mammal,Chiroptera,Vespertilionidae,,0,
Hesperoptenus tomesi,mammal,Chiroptera,Vespertilionidae,,0,
Histiotus alienus,mammal,Chiroptera,Vespertilionidae,,0,
Histiotus macrotus,mammal,Chiroptera,Vespertilionidae,,0,
Histiotus montanus,mammal,Chiroptera,Vespertilionidae,,0,
Histiotus velatus,mammal,Chiroptera,Vespertilionidae,,0,
Ia io,mammal,Chiroptera,Vespertilionidae,,0,
Idionycteris phyllotis,mammal,Chiroptera,Vespertilionidae,,0,
Kerivoula aerosa,mammal,Chiroptera,Vespertilionidae,,0,
Kerivoula africana,mammal,Chiroptera,Vespertilionidae,,0,
Kerivoula agnella,mammal,Chiroptera,Vespertilionidae,,0,
Kerivoula argentata,mammal,Chiroptera,Vespertilionidae,,0,
Kerivoula atrox,mammal,Chiroptera,Vespertilionidae,,0,
Kerivoula cuprosa,mammal,Chiroptera,Vespertilionidae,,0,
Kerivoula eriophora,mammal,Chiroptera,Vespertilionidae,,0,
Kerivoula flora,mammal,Chiroptera,Vespertilionidae,,0,
Kerivoula hardwickii,mammal,Chiroptera,Vespertilionidae,,0,Bisson et al. 2009
Kerivoula hardwickii,mammal,Chiroptera,Vespertilionidae,,1,Ancillotto
Kerivoula intermedia,mammal,Chiroptera,Vespertilionidae,,0,
Kerivoula jagori,mammal,Chiroptera,Vespertilionidae,,0,
Kerivoula lanosa,mammal,Chiroptera,Vespertilionidae,,0,
Kerivoula minuta,mammal,Chiroptera,Vespertilionidae,,0,
Kerivoula muscina,mammal,Chiroptera,Vespertilionidae,,0,
Kerivoula myrella,mammal,Chiroptera,Vespertilionidae,,0,
Kerivoula papillosa,mammal,Chiroptera,Vespertilionidae,,0,
Kerivoula papuensis,mammal,Chiroptera,Vespertilionidae,,0,
Kerivoula pellucida,mammal,Chiroptera,Vespertilionidae,,0,
Kerivoula phalaena,mammal,Chiroptera,Vespertilionidae,,0,
Kerivoula picta,mammal,Chiroptera,Vespertilionidae,,0,
Kerivoula smithi,mammal,Chiroptera,Vespertilionidae,,0,
Kerivoula whiteheadi,mammal,Chiroptera,Vespertilionidae,,0,
Laephotis angolensis,mammal,Chiroptera,Vespertilionidae,,0,
Laephotis botswanae,mammal,Chiroptera,Vespertilionidae,,0,
Laephotis namibensis,mammal,Chiroptera,Vespertilionidae,,0,
Laephotis wintoni,mammal,Chiroptera,Vespertilionidae,,0,
Lasionycteris noctivagans,mammal,Chiroptera,Vespertilionidae,,1,
Lasionycteris noctivagans,mammal,Chiroptera,Vespertilionidae,,1,
Lasiurus blossevillii,mammal,Chiroptera,Vespertilionidae,,1,
Lasiurus borealis,mammal,Chiroptera,Vespertilionidae,,1,
Lasiurus borealis,mammal,Chiroptera,Vespertilionidae,,1,
Lasiurus castaneus,mammal,Chiroptera,Vespertilionidae,,0,
Lasiurus cinereus,mammal,Chiroptera,Vespertilionidae,,1,
Lasiurus cinereus,mammal,Chiroptera,Vespertilionidae,,1,
Lasiurus ega,mammal,Chiroptera,Vespertilionidae,,1,
Lasiurus ega,mammal,Chiroptera,Vespertilionidae,,1,
Lasiurus egregius,mammal,Chiroptera,Vespertilionidae,,0,
Lasiurus intermedius,mammal,Chiroptera,Vespertilionidae,,1,
Lasiurus seminolus,mammal,Chiroptera,Vespertilionidae,,1,
Mimetillus moloneyi,mammal,Chiroptera,Vespertilionidae,,0,
Miniopterus australis,mammal,Chiroptera,Vespertilionidae,,0,
Miniopterus fraterculus,mammal,Chiroptera,Vespertilionidae,,0,
Miniopterus fuscus,mammal,Chiroptera,Vespertilionidae,,0,
Miniopterus inflatus,mammal,Chiroptera,Vespertilionidae,,0,
Miniopterus magnater,mammal,Chiroptera,Vespertilionidae,,0,
Miniopterus minor,mammal,Chiroptera,Vespertilionidae,,0,
Miniopterus pusillus,mammal,Chiroptera,Vespertilionidae,,0,
